Entry_Id,OBJ_ID,Dat_obs,Hr_obs,Nb_coyotes,Alimentation,Statut_animal,Periode,Comp_class,Com_code,Cote,Territoire,Statut_mention,Provenance,Verif,X,Y,Lat,Long
1120,1555,"2019-04-16","19:30:00",1,,,"crepuscule","inconnue",1,0,"Pierrefonds-Roxboro","Valide","formulaire","oui",273929.8171,5034796.168,45.4524137,-73.8946784
1121,1556,"2019-03-31","06:15:00",1,,,"crepuscule","2",4,2.8,"Pierrefonds-Roxboro","Valide","formulaire","oui",272896.0597,5035370.193,45.4575325,-73.907932
1123,1558,"2019-04-22","06:18:00",1,"autre",,"crepuscule","2",4,2.8,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293798.0701,5048202.715,45.57364624,-73.6409631
1124,1559,"2019-04-20","10:00:00",1,"autre",,"jour","1",2,1,"Pierrefonds-Roxboro","Valide","info-coyote","oui",273929.9824,5034845.788,45.4528602,-73.8946794
1125,1560,"2019-04-28","06:15:00",1,,,"crepuscule","inconnue",1,0,"Villeray-Saint-Michel-Parc-Extension","Valide","formulaire","oui",294439.0861,5048436.084,45.575756,-73.632755
1126,1561,"2019-04-30","13:18:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293476.8404,5046937.583,45.56225705,-73.64504956
1127,1562,"2019-04-29","23:55:00",1,"ordures",,"nuit","1",2,0.6,"Villeray-Saint-Michel-Parc-Extension","Valide","info-coyote","oui",295407.3063,5047912.302,45.5710566,-73.6203391
1128,1563,"2019-04-30","13:30:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293503.279,5047025.172,45.56304563,-73.64471291
1129,1564,"2019-04-30","06:30:00",1,,,"crepuscule","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293440.3065,5046376.656,45.55720906,-73.64550453
1130,1565,,,1,,,"jour","inconnue",1,0,"Saint-Laurent","Valide","info-coyote","oui",288697.9777,5040245.557,45.50194589,-73.7060464
1131,1566,"2019-05-02","23:00:00",1,,,"nuit","inconnue",1,0,"L'Île-Bizard-Sainte-Geneviève","Valide","info-coyote","oui",276090.1943,5040471.939,45.503578,-73.8673901
1132,1567,"2019-04-11","08:55:00",1,,,"jour","inconnue",1,0,"Villeray-Saint-Michel-Parc-Extension","Valide","SPVM","oui",295041.2937,5047765.296,45.56972876,-73.6250255
1133,1568,"2019-04-12","07:35:00",1,,,"jour","inconnue",1,0,"Villeray-Saint-Michel-Parc-Extension","Valide","SPVM","oui",295172.3633,5047868.881,45.57066268,-73.62334833
1134,1569,"2019-04-17","04:21:00",1,,,"nuit","5",10,8.6,"Montréal-Nord","Valide","SPVM","oui",293085.351,5049341.265,45.5838796,-73.65012214
1135,1570,"2019-04-20","22:27:00",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",294369.5973,5046647.164,45.55965772,-73.63360719
1136,1571,"2019-05-06","18:15:00",1,,,"jour","inconnue",1,0,"Pierrefonds-Roxboro","Valide","formulaire","oui",273919.7481,5034822.195,45.45264745,-73.89480876
1137,1572,"2019-05-07","06:10:00",1,,,"crepuscule","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293823.6506,5046432.378,45.55771661,-73.6405956
1138,1573,"2019-05-07","21:00:00",1,,,"crepuscule","2",5,3.8,"Ahuntsic-Cartierville","Valide","formulaire","oui",293965.5111,5046178.535,45.55543467,-73.6387729
1140,1575,"2019-05-10","15:00:00",1,,,"jour","inconnue",1,0,"L'Île-Bizard-Sainte-Geneviève","Valide","info-coyote","oui",275724.2357,5039782.578,45.4973598,-73.8720322
1141,1576,"2019-05-12","18:15:00",1,,,"jour","inconnue",1,0,"Kirkland","Valide","info-coyote","oui",275914.0941,5034318.247,45.44819805,-73.8692817
1142,1577,"2019-05-16","06:10:00",1,,,"crepuscule","inconnue",1,0,"Saint-Laurent","Valide","formulaire","oui",287670.1814,5042778.354,45.5247124,-73.7192868
1144,1579,"2019-05-17","00:20:00",1,,,"nuit","1",2,0.6,"Villeray-Saint-Michel-Parc-Extension","Valide","info-coyote","oui",294218.1052,5048384.087,45.5752848,-73.63558531
1145,1580,"2019-05-20","09:00:00",1,,,"jour","inconnue",1,0,"Mercier-Hochelaga-Maisonneuve","Valide","info-coyote","oui",303006.422,5051906.652,45.60706,-73.522994
1146,1581,"2019-05-21","10:00:00",1,,,"jour","1",2,1,"Rivière-des-Prairies-Pointe-aux-Trembles","Valide","info-coyote","oui",304557.5625,5060408.996,45.68356811,-73.50311233
1148,1583,"2019-05-23","06:00:00",1,,,"crepuscule","inconnue",1,0,"L'Île-Bizard-Sainte-Geneviève","Valide","info-coyote","oui",275077.0454,5038641.641,45.4870661,-73.8802439
1149,1584,"2019-05-14","15:00:00",1,,,"jour","inconnue",1,0,"Saint-Laurent","Valide","info-coyote","oui",288132.3285,5040403.678,45.50335543,-73.71328995
1150,1585,"2019-05-23","06:57:00",1,,,"jour","inconnue",1,0,"Saint-Laurent","Valide","formulaire","oui",286699.043,5040269.944,45.50211633,-73.73162608
1151,1586,"2019-05-17","12:00:00",1,"ordures",,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293333.6177,5048402.515,45.5754366,-73.6469186
1152,1587,"2019-05-24","22:12:00",2,,,"nuit","1",2,0.6,"Mercier-Hochelaga-Maisonneuve","Valide","formulaire","oui",303030.6652,5049231.29,45.5829864,-73.5226735
1155,1590,"2019-05-25","09:00:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","formulaire","oui",293757.7481,5046191.27,45.555546,-73.6414343
1156,1591,"2019-05-25","09:00:00",1,,,"jour","1",2,1,"Ahuntsic-Cartierville","Valide","formulaire","oui",293609.6434,5046271.543,45.55626596,-73.64333312
998,1595,"2019-02-28","10:15:00",1,"ordures",,"jour","2",4,3,"Villeray-Saint-Michel-Parc-Extension","Valide","info-coyote","oui",294570.7786,5047699.239,45.5691276,-73.6310522
1063,1596,"2019-03-20","10:00:00",1,,,"jour","1",2,1,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293863.5411,5046269.21,45.556249,-73.640081
1153,1598,"2019-05-25","09:00:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","formulaire","oui",293757.7481,5046191.27,45.555546,-73.6414343
1154,1599,"2019-05-25","09:00:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","formulaire","oui",293757.7481,5046191.27,45.555546,-73.6414343
1157,1600,"2019-05-25","19:30:00",1,,,"crepuscule","2",5,3.8,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293852.9515,5046231.727,45.55591155,-73.6402158
1158,1601,"2019-05-25","06:00:00",1,,,"crepuscule","inconnue",1,0,"Villeray-Saint-Michel-Parc-Extension","Valide","formulaire","oui",295135.6961,5046833.568,45.5613461,-73.62379764
1159,1602,"2019-02-26","01:30:00",1,,,"nuit","inconnue",1,0,"Mercier-Hochelaga-Maisonneuve","Valide","info-coyote","oui",303816.0812,5052045.154,45.6083079,-73.5126143
1160,1603,"2019-05-29","05:20:00",1,,,"crepuscule","2",4,2.8,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293738.4809,5048248.673,45.57405884,-73.64172763
1161,1604,"2019-05-27","21:00:00",1,"ordures",,"crepuscule","2",5,3.8,"L'Île-Bizard-Sainte-Geneviève","Valide","formulaire","oui",276345.9597,5040350.907,45.5024994,-73.8641102
1162,1605,"2019-05-21","01:09:00",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",294365.7272,5046342.483,45.55691604,-73.63365027
1163,1606,"2019-06-01","05:35:00",1,,,"jour","1",2,1,"Dollard-des-Ormeaux","Valide","formulaire","oui",278014.1368,5037494.203,45.47686,-73.842608
1164,1607,"2019-05-30","23:30:00",1,"ordures",,"nuit","1",2,0.6,"Villeray-Saint-Michel-Parc-Extension","Valide","formulaire","oui",294457.7265,5048302.236,45.57455188,-73.63251333
1165,1608,"2019-05-31","17:00:00",1,,,"jour","1",2,1,"L'Île-Bizard-Sainte-Geneviève","Valide","info-coyote","oui",276454.1229,5039879.152,45.49825883,-73.86269887
1167,1610,"2019-06-09","22:00:00",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",294223.796,5046419.808,45.5576097,-73.6354699
1168,1611,"2019-06-16","20:30:00",1,,,"crepuscule","1",2,0.8,"Côte-Saint-Luc","Valide","info-coyote","oui",292400.8149,5037340.465,45.4758803,-73.6585906
1169,1612,"2019-06-18","06:00:00",1,,,"crepuscule","1",2,0.8,"Kirkland","Valide","formulaire","oui",275758.277,5035054.174,45.4548137,-73.8713171
1170,1613,"2019-06-17","23:45:00",1,,,"nuit","5",10,8.6,"Rivière-des-Prairies-Pointe-aux-Trembles","Valide","info-coyote","oui",299220.3625,5055649.718,45.6407209,-73.5715748
1173,1616,"2019-06-29","18:10:00",1,,,"jour","2",4,3,"Mercier-Hochelaga-Maisonneuve","Valide","formulaire","oui",301186.4827,5049330.526,45.58387221,-73.54630688
1176,1619,"2019-07-07","01:30:00",1,,,"nuit","1",2,0.6,"Mercier-Hochelaga-Maisonneuve","Valide","formulaire","oui",300057.9352,5049010.972,45.58099,-73.560766
